"","mse","info","sd","r.wj.1","r.wj.2","r.wj.3","min.wj","max.wj","mean.wj","length.diff","listnum"
"51",0.00841509363963626,6.89660965139449,4.57858967193149,0.846805904656719,0.850699608576833,0.87090875977685,0.846805904656719,0.87090875977685,0.856138091003467,5,"147"
"52",0.00868999027560882,6.90595808520571,4.84675735122732,0.86632106732217,0.845568935870463,0.847846091645662,0.845568935870463,0.86632106732217,0.853245364946098,5,"137"
"53",0.00880284234909157,6.90119576972988,4.65046906949865,0.844508524054373,0.853380571750298,0.86287312565855,0.844508524054373,0.86287312565855,0.853587407154407,7,"195"
"54",0.00889684821097948,6.90537632178356,4.71277417329983,0.885323820599632,0.848477273905971,0.841221084050004,0.841221084050004,0.885323820599632,0.858340726185202,5,"80"
"55",0.00905393431832799,6.9040432417627,4.69769625584383,0.829939767066955,0.875566902115366,0.865586059169236,0.829939767066955,0.875566902115366,0.857030909450519,7,"130"
"56",0.00910607385008704,6.90274266924663,4.61795443364924,0.873161129837153,0.846969453472748,0.850375697694129,0.846969453472748,0.873161129837153,0.856835427001343,5,"27"
"57",0.0091067149949174,6.90383869716244,4.77318328478799,0.836894403172145,0.86483597823222,0.86735519678309,0.836894403172145,0.86735519678309,0.856361859395819,5,"37"
"58",0.00929499856751908,6.90181434019145,4.80186438475398,0.857565422432967,0.853377722341578,0.867457950286129,0.853377722341578,0.867457950286129,0.859467031686892,5,"73"
"59",0.00934431979471747,6.90243429969045,4.67736855885179,0.832603806920509,0.848808781004846,0.857240445658918,0.832603806920509,0.857240445658918,0.846217677861424,7,"103"
"60",0.00938006248215059,6.90348313159415,4.74125303751725,0.853956386075429,0.871883589246238,0.834426412272065,0.834426412272065,0.871883589246238,0.85342212919791,5,"38"
"61",0.0094206557032474,6.90201439021691,4.7527475657864,0.845574898316133,0.853601927205368,0.871514094117566,0.845574898316133,0.871514094117566,0.856896973213022,5,"210"
"62",0.00946012693558408,6.90205221861837,4.76387156445134,0.873206664345872,0.863393373861403,0.837078592532798,0.837078592532798,0.873206664345872,0.857892876913357,5,"88"
"63",0.00951592535519494,6.89860535240924,4.63442530061851,0.849595616518795,0.836113279171025,0.893388693660125,0.836113279171025,0.893388693660125,0.859699196449982,5,"142"
"64",0.00961201309263846,6.90128263558198,4.61768070371718,0.845377523682919,0.83957490271286,0.881577594890574,0.83957490271286,0.881577594890574,0.855510007095451,5,"226"
"65",0.00961533132668148,6.90169841147607,4.70380983514563,0.830069314331969,0.832075473535606,0.861473885204306,0.830069314331969,0.861473885204306,0.841206224357294,5,"22"
"66",0.00968408514666792,6.90273090177963,4.65749297018471,0.854571317775139,0.860507969168123,0.847085011981392,0.847085011981392,0.860507969168123,0.854054766308218,5,"229"
"67",0.00974427707794026,6.90639328899956,4.83072227089836,0.836356172196017,0.839758441258116,0.865985866446765,0.836356172196017,0.865985866446765,0.847366826633633,7,"66"
"68",0.00992707926336529,6.8995252097843,4.57613270536432,0.843631361374336,0.852186363365708,0.866876903454804,0.843631361374336,0.866876903454804,0.854231542731616,5,"41"
"69",0.0100844132415997,6.90406650251285,4.75133264234116,0.80764481116404,0.888808162632866,0.877996345461879,0.80764481116404,0.888808162632866,0.858149773086262,7,"216"
"70",0.0101173597933392,6.9026703129761,4.72916764537164,0.846293416380817,0.854221191252929,0.876220498658595,0.846293416380817,0.876220498658595,0.858911702097447,5,"92"
"71",0.0101657009631155,6.91247324351808,4.8771101736303,0.869021682096136,0.800302756665364,0.883480860829453,0.800302756665364,0.883480860829453,0.850935099863651,5,"233"
