"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"53",53,"brush",1.2128096984879,-1.52535634293278,0.5,1,"brush",5,18.3833,3,4.62,7419.9,283.2,654.2,37,57.47,5.67,187107.91,26340.2,9407.74,1773.5,436.18,146
"54",54,"watch",1.72579017543,-1.51653946710779,0.5,1,"watch",5,110.597,8,22.42,8513.32,311,1819.15,52,403.74,11.33,245526.46,24014,21160.59,2890.25,945.26,232.33
"55",55,"great",1.90238869427122,-1.51517551591468,0.5,1,"great",5,639.726,3,15.27,8767.35,305.4,1607.14,45.5,912.1,9.67,324433.67,39926.2,33401.86,4619.25,4254.43,431.33
"56",56,"che",1.72592623272889,-1.51397571577548,0.5,1,"che",3,NA,4,16431.17,49872.23,36.67,32859.39,1.5,0,0,294209.93,32833.33,67480.92,2769.5,2439.8,742
"57",57,"best",1.80901530369135,-1.51267443702921,0.5,1,"best",4,345.772,15,42.99,17453.67,223.5,3668.62,29.33,604.65,5.5,310876.24,40790,30419.08,6641.67,2910.71,905
"58",58,"complete",2.21878897688219,-1.51101436840075,0.5,1,"complete",8,99.2934,0,0,3709.31,946.5,688.99,152,210.61,23,278232.62,35179,18425.33,3436,2459.76,359.17
"59",59,"peace",2.08551887738195,-1.51025582427058,0.5,1,"peace",5,90.7265,3,184.55,10633.42,428.6,1989.63,53.25,413.42,7.67,323913.65,41537.4,17907.74,2581,1742.88,180.33
"60",60,"library",2.35122625708054,-1.50604654694543,0.5,1,"library",7,50.6878,0,0,4191.15,672.14,496.05,75,91.51,8.2,212728.23,31142.71,14059.7,2899.33,585.17,142.4
"61",61,"truck",1.21253260379863,-1.50309074661006,0.5,1,"truck",5,25.7604,4,22.22,8628.03,258,768.08,39,131.86,6.33,180153.79,24753.6,6846.41,1635.25,767.97,200.33
"62",62,"asca",2.23512301867716,-1.4992371516637,0.5,1,"asca",4,NA,1,27.31,2753.46,69.75,26.51,3,0,0,285981.68,39316.25,17375.68,2519.33,322.75,186
"63",63,"money",1.58705220651708,-1.48555448531739,0.5,1,"money",5,386.524,2,10.53,10209.13,557.8,796.76,52,461.37,7.33,262719.6,31897.6,22116.93,3265.25,3088.92,333
"64",64,"will",1.95583194725269,-1.47931373768838,0.5,1,"will",4,2105.87,17,96.28,16600.78,191.25,6173.81,38.33,2328.16,8.5,184456.21,28006.25,16563.03,2125,3844.84,319
"65",65,"ef",1.83245025466812,-1.47770153482755,0.5,1,"ef",2,NA,7,4728.65,16550.28,3.5,0,0,NA,NA,308060.24,35670.5,4674.7,809,NA,NA
"66",66,"without",1.98688330966186,-1.47513569720242,0.5,1,"without",7,595.76,0,0,4289.33,534.14,979.19,55.83,625.08,9.4,266836.87,27709,42902.27,2175.5,6647.61,244.4
"67",67,"went",0.962683106724573,-1.46446062394438,0.5,1,"went",4,693.21,18,93.33,21234.43,228.25,3338.5,27.33,1131.46,6.5,323128.19,36381.25,29503.45,3852.67,7801.91,1046.5
"68",68,"through",2.20550851908853,-1.45140487313366,0.5,1,"through",7,956.346,0,0,3960.19,439.43,1183.65,34,972.23,7,235648.79,24408.71,34711.28,1756.5,3336.75,221.6
"69",69,"once",1.60630923563673,-1.44678119632117,0.5,1,"once",4,578.746,0,0,13273.77,140.75,1502.51,8,578.75,1,311942.4,39576.25,25375.52,3822,4085.75,547
"70",70,"round",2.63719643856891,-1.40883739598897,0.5,1,"round",5,322.51,7,112.76,10897.17,380.8,3128.81,48,1062.88,9.33,227412.38,30244.8,30565.21,3014.5,4594.58,514
"71",71,"come",2.46889620680788,-1.40591462055023,0.5,1,"come",4,845.987,16,200.29,18482.25,273.25,3923.41,31.33,2049.4,5,265942.64,33540.25,22448.34,2909.67,6345.91,524
"72",72,"ot",2.86144209969868,-1.38886350313434,0.5,1,"ot",2,NA,20,2904.34,29043.4,10,0,0,NA,NA,357657.21,35767,15591.74,1587,NA,NA
"73",73,"inside",2.37970657612556,-1.36556989068097,0.5,1,"inside",6,189.187,1,0,5731.84,461.17,634.51,42.4,280.97,7.5,308166,45199.33,27903.27,4956.2,2668.21,378.25
"74",74,"candy",4.82455725301373,-1.36350688205705,0.5,1,"candy",5,6.72268,7,4.03,5620.38,442.8,668.71,57,146.17,10.33,206259.82,26730,31927.98,2982.25,11975.33,391.67
"75",75,"cibsus",2.08373071053443,-1.35198550552667,0.5,1,"cibsus",6,NA,0,0,4864.99,701.33,109.4,23.6,4.09,1.5,188954.55,33639,7055.47,1337.6,77.61,22.25
"76",76,"tried",3.00887477140848,-1.34984911605173,0.5,1,"tried",5,215.066,8,14.52,13746.16,493.6,1586.39,106.5,363.54,14.67,325642.67,42125.4,20760.49,4757.5,2258.33,521.33
"77",77,"lame",1.86928767993466,-1.34848639336773,0.5,1,"lame",4,4.46196,19,112.85,20307.95,275.25,3499.7,30.67,923.21,6.5,293956.29,37362.75,16572.08,2621.67,1795.16,233
"78",78,"ip",1.89298983178985,-1.34846417109006,0.5,1,"ip",2,NA,15,2929.42,21970.64,7.5,0,0,NA,NA,192001.15,32308.5,2162.8,906,NA,NA
"79",79,"wood",3.19009745858346,-1.3305853478316,0.5,1,"wood",4,66.8104,11,131.96,18422.01,228.5,2354.92,30.67,687.32,5,226246.18,23186.25,8607.57,1021.33,1296.61,169
"80",80,"understand",2.53862847969251,-1.33002880936991,0.5,1,"understand",10,188.949,0,0,2339.42,681.4,583.71,107.56,288.82,32.88,282604.87,37243.3,35293.35,4667,7574.72,886
"81",81,"number",2.45516186173978,-1.32920370704551,0.5,1,"number",6,302.283,4,1.03,7006.33,760.5,1759.28,162.6,384.01,14.75,222971.99,30924,18973.11,3002.4,1101.73,208
"82",82,"daople",2.81905620215027,-1.31318278467487,0.5,1,"daople",6,NA,1,0.24,7944.38,648.5,1567.59,69.4,743.21,4.75,273536.85,34237.67,9402.2,1796.4,1154.68,85
"83",83,"yos",2.34893432560129,-1.31235568640678,0.5,1,"yos",3,NA,9,747.24,18576.92,55.67,3170.37,4,0,0,222200.43,31082.67,9145.94,872.5,1.07,1
"84",84,"germantia",0.932361721641495,-1.30610919879297,0.5,1,"germantia",9,NA,0,0,2075.05,655.67,283.68,77.38,47.77,11.29,299868,38171.11,28661.4,4640.5,2325.09,503.86
"85",85,"de",1.50037136576819,-1.30534978946059,0.5,1,"de",2,NA,13,1777,11550.49,6.5,0,0,NA,NA,343849.5,42328,21065.01,4210,NA,NA
"86",86,"garden",2.24598661773482,-1.29184892870298,0.5,1,"garden",6,114.107,2,3.69,8554.45,921.67,992.95,118,279.56,15.5,280518.49,36913.5,21887.54,3459.6,1783.88,333.25
"87",87,"pretty",1.81980263126821,-1.27807300639408,0.5,1,"pretty",6,107.265,0,0,5145.11,535,497.91,53.8,125.13,7.25,284481.3,34095,18942.58,2804.4,1656.71,384
"88",88,"light",2.61635352996369,-1.27555994767936,0.5,1,"light",5,298.535,9,251.96,6473.75,241.8,2249.44,23.5,1841.78,8.33,239274.35,29010,11176.79,1916,4202.49,420.33
"89",89,"chance",2.74472818722525,-1.27332047447595,0.5,1,"chance",6,147.483,2,133.5,6292.68,515.83,1020.78,69.4,444.05,17.25,277961.26,33650.33,29961.14,2983,4128.49,577.75
"90",90,"ggnoi",1.63203262886971,-1.27115183028725,0.5,1,"ggnoi",5,NA,0,0,2123.5,163.4,18.46,3.25,0,0,216659.42,30795.6,5767.88,716.25,86.7,34.33
"91",91,"ujst",3.46674609118972,-1.26941269038654,0.5,1,"ujst",4,NA,0,0,9767.95,102.75,2040.24,14.33,0,0,194825.52,27160.5,11207.03,2200,0,0
"92",92,"arm",2.20878105211277,-1.26767489309505,0.5,1,"arm",3,111.132,5,894.28,15938.57,37.33,2326.11,3,111.13,1,242466.47,31996,18588.57,2862.5,1176.65,220
"93",93,"chigshen",2.78245356268443,-1.24916793016241,0.5,1,"chigshen",8,NA,0,0,3766.96,854.88,625.05,97.14,147.04,13.67,258402.33,33217.5,33339.03,2551,2304.55,211.5
"94",94,"ge",2.30482528305166,-1.23620824105197,0.5,1,"ge",2,NA,12,1832.43,10994.59,6,0,0,NA,NA,302649.83,40083.5,12317.43,1988,NA,NA
"95",95,"agreed",1.7305835325495,-1.22258878514963,0.5,1,"agreed",6,100.543,1,6.96,9473.15,889.5,2275.97,210,255.42,6.5,319613.15,41010.83,24988.43,3702.4,1783.31,206.5
"96",96,"utashing",3.50228070497734,-1.21642742073603,0.5,1,"utashing",8,NA,1,0,4051.46,1033,1730.09,422.43,1015.43,229.5,259557.82,33228.25,31976.2,4639.86,6372.15,1428.67
"97",97,"imeyits",2.76877236189736,-1.21602428919473,0.5,1,"imeyits",7,NA,0,0,5373.65,1022.57,449.8,87.67,22.24,7.6,281503.01,39022.57,15717.92,1843.5,1090.9,82.8
"98",98,"pickle",2.28935487294133,-1.21549484000991,0.5,1,"pickle",6,2.73667,4,1.52,7083.54,560,1067.85,94,99.69,16,203850.59,30857.5,11074.83,2559,618.92,224
"99",99,"street",2.49305443168205,-1.21298060737986,0.5,1,"street",6,261.768,0,0,9622.83,918.67,1218.66,82.4,471.75,13.75,388929.34,48936.83,26547.12,4117.6,2509.84,422
"100",100,"imagine",2.524994504427,-1.21163734484324,0.5,1,"imagine",7,81.862,1,0.36,6738.47,950,1807.76,232.17,200.55,26.6,283909.9,38923.71,23523.76,3971.33,1539.35,402.8
"101",101,"twew",2.42909708938837,-1.2021771107407,0.5,1,"twew",4,NA,2,0.09,15418.14,115.75,318.42,10.67,0,0.5,274528.62,27893.5,7068.23,507.67,494.8,21.5
"102",102,"sick",3.78525022945493,-1.1781314335482,0.5,1,"sick",4,70.6179,15,12.93,11996.14,200,1099.7,28.33,127.55,6,179232.1,31741.5,13078.67,2707.67,992.04,267.5
"103",103,"dood",2.31548847323439,-1.16281554838343,0.5,1,"dood",4,NA,8,204.26,13667.2,234.5,2781.35,33.33,817.04,4,244769.4,27247,8021.31,1159,1410.36,147
"104",104,"guoys",3.1648890366592,-1.16244396652627,0.5,1,"guoys",5,NA,1,0.36,6492.68,520.6,82.13,14,1.03,1.33,173703.94,25684.4,1817.25,389.25,77.04,25.33
"105",105,"loms",3.66343091796157,-1.16145249709953,0.5,1,"loms",4,NA,12,9.87,13459.51,305.25,2004.45,28.33,0.71,2,214902.86,32069,11544.69,1629.67,136.8,63
"106",106,"guess",2.34234864665577,-1.15586389342579,0.5,1,"guess",5,60.2662,1,25.46,8838.28,543.8,765.09,21.5,163.8,4.33,250131.65,40077.6,13416,4165,2532.21,875
"107",107,"farmer",3.75400235189235,-1.15531914051939,0.5,1,"farmer",6,32.5425,4,23.98,9358.88,974.17,2235.8,201.4,155.74,13,264403.31,34448,27102.65,4051.2,1035.43,199.25
"108",108,"tascer",1.96816549871768,-1.15151172877434,0.5,1,"tascer",6,NA,1,0.48,8656.38,932.83,1796.71,178.6,31.53,5.25,319753.49,42739.5,27018.32,4151,524.95,162.75
"109",109,"sobsaller",3.42549098128046,-1.14281919884388,0.5,1,"sobsaller",9,NA,0,0,2785.99,902.33,324.23,100.25,21.37,11.43,266992.06,38784.22,21399.97,3503.88,2002.07,378
"110",110,"mot",2.83328963517599,-1.13835954525018,0.5,1,"mot",3,NA,20,321.71,16549.84,76,3136.28,9,0,0,272677.86,28760,13623.01,1579.5,1021.37,142
"111",111,"idthepiates",1.77873327890404,-1.13746295661545,0.5,1,"idthepiates",11,NA,0,0,1012.22,631.09,148.3,142.2,35.28,42.78,324818.35,40248.27,38438.91,3756.2,10678.66,519.44
"112",112,"phlere",2.95503201795988,-1.13300506304403,0.5,1,"phlere",6,NA,0,0,6734.96,534.83,782.79,57.8,17.42,3.75,296465.41,37379.83,30388.68,4973.6,3345.87,324.5
"113",113,"clomify",2.62415051162927,-1.13068675793361,0.5,1,"clomify",7,NA,0,0,5509.79,798.14,297.78,64.33,71.47,13,170361.8,23622.57,8793.66,1441.67,456.76,132.6
"114",114,"mystery",2.05556178242676,-1.12912092088447,0.5,1,"mystery",7,24.63,1,5.18,5338.99,747.57,1080.39,177.33,297.39,42.2,240331.08,32114.71,24537.7,4428.5,3493.45,678.4
"115",115,"toy",1.18832370058236,-1.1206427671604,0.5,1,"toy",3,13.8618,16,122.2,33128.99,70.67,858.18,8,13.86,1,265020.97,26866.67,20211.59,1240,32.19,4
"116",116,"history",2.84165924219781,-1.11256408009557,0.5,1,"history",7,184.19,0,0,5482.58,761.71,965.26,105.33,290.66,16,264545.72,33088,30278.92,3423.83,4169.57,587.8
"117",117,"duttery",1.9010630346906,-1.11145497122432,0.5,1,"duttery",7,NA,1,1.43,6151,882.57,1106.29,192.5,248.28,46.8,273232.75,32572.29,22273.56,3809,3279.23,625.8
"118",118,"waves",2.10130518549388,-1.09665218572553,0.5,1,"waves",5,35.2197,19,8.15,11796.13,714,1903.81,123.5,188.77,17,260049.03,33360.2,23199.38,4132.25,2686.63,232.67
"119",119,"dag",3.06456829821859,-1.09567589485922,0.5,1,"dag",3,NA,19,53.08,11187.76,74,450.93,8,0,0,210735.54,26586,5595.83,1120.5,23.98,31
"120",120,"insows",4.40048538215235,-1.0856545438014,0.5,1,"insows",6,NA,0,0,4403.68,547.33,316.97,30.2,76.82,5.75,255840.62,37878.5,24023.3,3817.4,859.79,202.25
"121",121,"building",3.58143718297357,-1.08337018387244,0.5,1,"building",8,160.333,0,0,4394.39,1135.38,1977.45,422.14,1174.51,221.17,187780.55,28996,23665.26,4116.57,5970.97,1307.67
"122",122,"hammer",3.14282677873797,-1.0689351192891,0.5,1,"hammer",6,11.8986,3,0.97,8354.28,886,1927.63,181.2,122.75,14.5,266018.19,31100.83,28332.56,3583.6,736.76,202.5
"123",123,"fawerty",2.4336882632739,-1.06502468108085,0.5,1,"fawerty",7,NA,0,0,4246.18,659.14,642.06,57.67,48.38,4,257865.37,29258.57,17355.02,2575.5,1447.71,119
"124",124,"flankfopper",1.63321000372729,-1.06099722082631,0.5,1,"flankfopper",11,NA,0,0,403.99,302.45,46.33,42,3.94,6.22,209437.06,27230.09,19036.42,2763.1,1186.17,276.67
"125",125,"brubs",2.12879675052799,-1.05351579254416,0.5,1,"brubs",5,NA,2,0.71,7497.58,525,434.55,34.25,20.54,4.33,151427.74,25979.6,2816.77,800.75,207.53,76
"126",126,"cowbim",2.09308108369699,-1.05140753576695,0.5,1,"cowbim",6,NA,0,0,3696.47,415.83,458.58,51,4.13,2.75,167755.63,22435,9877.53,1576.6,23.37,25.5
"127",127,"hube",0.969270290581312,-1.05097668541751,0.5,1,"hube",4,NA,4,32.65,13405.96,201.25,124.5,13.33,9.79,1.5,237549.75,26236.5,8683.64,870.67,34.98,32
"128",128,"famous",2.03984281528334,-1.04881899463932,0.5,1,"famous",6,79.2444,0,0,6272.66,757.17,738.76,51.6,178.78,5.25,214015.26,27859.83,16601.75,1935.2,1524.64,393.5
"129",129,"reverse",2.6531481415205,-1.04230192349038,0.5,1,"reverse",7,24.273,1,1.31,5883.22,676.14,1147.6,103.5,217.61,18,336359.59,46520.71,33614.45,4797.5,5293.48,863
"130",130,"liberty",1.22585360219659,-1.03421942043578,0.5,1,"liberty",7,18.0263,0,0,3932.36,570,551.92,58.67,96.13,6.8,253984.57,34064.71,20879,3440,986.9,197.6
"131",131,"question",2.81747918292686,-1.03318896835209,0.5,1,"question",8,238.685,0,0,3701.74,849.12,1009.01,139.29,581.99,41.33,276798.49,36591.62,24807.14,5585.43,6226.06,1442.5
"132",132,"pencil",1.79813592052419,-1.01817348389022,0.5,1,"pencil",6,16.658,0,0,5142.06,489,601.77,48.6,20.2,3.5,246447.57,36493,18339.01,3044.8,1596.53,331.25
"133",133,"wews",5.38774620922557,-1.00261088103232,0.5,1,"wews",4,NA,12,16.21,15234.23,248.75,2147.27,19.33,96.23,3.5,242413.21,31055.5,6553.94,526.33,209.35,40.5
"134",134,"etecants",1.68134118833442,-1.00245535072792,0.5,1,"etecants",8,NA,0,0,3503.16,957.62,383.41,99.29,100.17,16.67,359476.73,44708,25506.83,4047,2201.17,421.17
"135",135,"baafness",1.2279878920374,-0.984940024866293,0.5,1,"baafness",8,NA,0,0,3345.72,1250.75,436.77,170.29,224.82,60.83,282519.56,38291.38,11316.21,3067.43,1392.78,677.17
"136",136,"collosks",1.26874458807094,-0.982385018844733,0.5,1,"collosks",8,NA,0,0,3321.23,1028.25,491.42,120.86,88.41,16.33,207695.02,31845.75,11249.16,2053.71,846.45,164.33
"137",137,"answer",4.450492500527,-0.981758659810053,0.5,1,"answer",6,162.118,0,0,7469.19,735,1702.56,143.4,181.87,3.5,298121.9,39902.5,31457.38,4302.4,1861.81,232.25
"138",138,"brought",3.42114955690842,-0.981402853292485,0.5,1,"brought",7,254.629,2,5.12,4264.88,492,1297.08,63,788.84,14.8,210162.95,24151.14,14839.12,1616.83,4000.9,289.6
"139",139,"begin",3.44758188607591,-0.97825738010312,0.5,1,"begin",5,120.175,4,110.83,6354.44,282,1009.52,29.5,268.59,4.33,252749.47,35608.2,27164.09,4055.75,1044,172
"140",140,"slellen",5.54016728631805,-0.977316773650142,0.5,1,"slellen",7,NA,0,0,6023.68,1067.86,619.97,143.67,48.27,13,300447.98,43536,23273.31,4004.67,1430.33,306
"141",141,"wirtoul",3.16242434103565,-0.970210807833486,0.5,1,"wirtoul",7,NA,0,0,5240.62,653.14,658.95,70,5.6,3.2,234843.53,30293,21146.15,1852.33,1418.94,80.2
"142",142,"gravel",1.47689909403571,-0.967593918814896,0.5,1,"gravel",6,11.0062,5,14.35,6431.76,749.33,587.28,87.8,133.12,19.75,240191.88,32732,15259.16,2579.4,2408.28,353.75
