"word","rt","acc","wordLength","realpseudo","subj"
"after",0.79313,1,5,"real",2
"leald",1.07352,0,5,"pseudo",2
"ro",0.910365,1,2,"pseudo",2
"scays",0.85107,1,5,"pseudo",2
"cas",0.85402,1,3,"pseudo",2
"beeching",0.77821,1,8,"pseudo",2
"bi",0.90043,1,2,"pseudo",2
"long",0.69338,1,4,"real",2
"hencory",0.720855,1,7,"pseudo",2
"history",0.667135,0,7,"real",2
"round",0.791625,1,5,"real",2
"at",0.78285,1,2,"real",2
"can",0.949515,1,3,"real",2
"green",0.681595,1,5,"real",2
"will",0.48306,1,4,"real",2
"ruticole",0.85401,1,8,"pseudo",2
"dryer",0.794785,0,5,"real",2
"hore",0.931635,1,4,"pseudo",2
"wawed",0.85137,1,5,"pseudo",2
"tfaer",0.72608,1,5,"pseudo",2
"complete",0.750625,1,8,"real",2
"enan",0.649365,1,4,"pseudo",2
"other",0.65979,1,5,"real",2
"tister",0.78558,1,6,"pseudo",2
"place",0.856435,1,5,"real",2
"polarize",0.62326,0,8,"real",2
"losh",0.525405,0,4,"pseudo",2
"building",0.494095,0,8,"real",2
"need",0.593495,1,4,"real",2
"complase",0.76939,0,8,"pseudo",2
"mich",0.617205,0,4,"pseudo",2
"spu",0.85623,1,3,"pseudo",2
"winter",6.203635,1,6,"real",2
"sint",2.702095,1,4,"pseudo",2
"rackle",10.21595,0,6,"pseudo",2
"liberty",0.86804,1,7,"real",2
"in",0.58316,1,2,"real",2
"faster",0.58346,1,6,"real",2
"watch",0.661005,1,5,"real",2
"more",0.578455,1,4,"real",2
"pocorism",0.75558,1,8,"pseudo",2
"loak",0.82909,1,4,"pseudo",2
"gravel",1.05926,1,6,"real",2
"learn",0.73624,1,5,"real",2
"sing",0.68343,1,4,"real",2
"farmer",0.612405,1,6,"real",2
"signaller",0.69132,0,9,"real",2
"drnuo",0.6547,1,5,"pseudo",2
"spy",0.652295,1,3,"real",2
"crovel",0.66693,1,6,"pseudo",2
