"","words","a","b","g","u"
"39","jixel",1.41876152613321,-1.6766259682571,0.5,1
"40","give",1.4603667197144,-1.62007565286619,0.5,1
"41","left",2.32616605644094,-1.59266304457534,0.5,1
"42","cok",1.99398133947974,-1.58995165261897,0.5,1
"43","almost",1.66661315344231,-1.56853538144376,0.5,1
"44","tfaer",1.81192809840929,-1.56795624817938,0.5,1
"45","faster",1.64102899398086,-1.56717537231313,0.5,1
"46","fafever",2.14089548907518,-1.55581745215829,0.5,1
"47","et",3.06709662992197,-1.55335131613874,0.5,1
"48","ypla",3.24738933703875,-1.55149436557493,0.5,1
"49","long",1.56262002586916,-1.53734989600039,0.5,1
"50","short",0.88112719602422,-1.53489645777072,0.5,1
"51","spy",1.53307407681795,-1.53074577439806,0.5,1
"52","mun",1.87396574027947,-1.52786577623129,0.5,1
"53","brush",1.2128096984879,-1.52535634293278,0.5,1
"54","watch",1.72579017543,-1.51653946710779,0.5,1
"55","great",1.90238869427122,-1.51517551591468,0.5,1
"56","che",1.72592623272889,-1.51397571577548,0.5,1
"57","best",1.80901530369135,-1.51267443702921,0.5,1
"58","complete",2.21878897688219,-1.51101436840075,0.5,1
"59","peace",2.08551887738195,-1.51025582427058,0.5,1
"60","library",2.35122625708054,-1.50604654694543,0.5,1
"61","truck",1.21253260379863,-1.50309074661006,0.5,1
"62","asca",2.23512301867716,-1.4992371516637,0.5,1
"63","money",1.58705220651708,-1.48555448531739,0.5,1
"64","will",1.95583194725269,-1.47931373768838,0.5,1
"65","ef",1.83245025466812,-1.47770153482755,0.5,1
"66","without",1.98688330966186,-1.47513569720242,0.5,1
"67","went",0.962683106724573,-1.46446062394438,0.5,1
"68","through",2.20550851908853,-1.45140487313366,0.5,1
"69","once",1.60630923563673,-1.44678119632117,0.5,1
"70","round",2.63719643856891,-1.40883739598897,0.5,1
"71","come",2.46889620680788,-1.40591462055023,0.5,1
"72","ot",2.86144209969868,-1.38886350313434,0.5,1
"73","inside",2.37970657612556,-1.36556989068097,0.5,1
"74","candy",4.82455725301373,-1.36350688205705,0.5,1
"75","cibsus",2.08373071053443,-1.35198550552667,0.5,1
"76","tried",3.00887477140848,-1.34984911605173,0.5,1
"77","lame",1.86928767993466,-1.34848639336773,0.5,1
"78","ip",1.89298983178985,-1.34846417109006,0.5,1
"79","wood",3.19009745858346,-1.3305853478316,0.5,1
"80","understand",2.53862847969251,-1.33002880936991,0.5,1
"81","number",2.45516186173978,-1.32920370704551,0.5,1
"82","daople",2.81905620215027,-1.31318278467487,0.5,1
"83","yos",2.34893432560129,-1.31235568640678,0.5,1
"84","germantia",0.932361721641495,-1.30610919879297,0.5,1
"85","de",1.50037136576819,-1.30534978946059,0.5,1
"86","garden",2.24598661773482,-1.29184892870298,0.5,1
"87","pretty",1.81980263126821,-1.27807300639408,0.5,1
"88","light",2.61635352996369,-1.27555994767936,0.5,1
"89","chance",2.74472818722525,-1.27332047447595,0.5,1
"90","ggnoi",1.63203262886971,-1.27115183028725,0.5,1
"91","ujst",3.46674609118972,-1.26941269038654,0.5,1
"92","arm",2.20878105211277,-1.26767489309505,0.5,1
"93","chigshen",2.78245356268443,-1.24916793016241,0.5,1
"94","ge",2.30482528305166,-1.23620824105197,0.5,1
"95","agreed",1.7305835325495,-1.22258878514963,0.5,1
"96","utashing",3.50228070497734,-1.21642742073603,0.5,1
"97","imeyits",2.76877236189736,-1.21602428919473,0.5,1
"98","pickle",2.28935487294133,-1.21549484000991,0.5,1
"99","street",2.49305443168205,-1.21298060737986,0.5,1
"100","imagine",2.524994504427,-1.21163734484324,0.5,1
"101","twew",2.42909708938837,-1.2021771107407,0.5,1
"102","sick",3.78525022945493,-1.1781314335482,0.5,1
"103","dood",2.31548847323439,-1.16281554838343,0.5,1
"104","guoys",3.1648890366592,-1.16244396652627,0.5,1
"105","loms",3.66343091796157,-1.16145249709953,0.5,1
"106","guess",2.34234864665577,-1.15586389342579,0.5,1
"107","farmer",3.75400235189235,-1.15531914051939,0.5,1
"108","tascer",1.96816549871768,-1.15151172877434,0.5,1
"109","sobsaller",3.42549098128046,-1.14281919884388,0.5,1
"110","mot",2.83328963517599,-1.13835954525018,0.5,1
"111","idthepiates",1.77873327890404,-1.13746295661545,0.5,1
"112","phlere",2.95503201795988,-1.13300506304403,0.5,1
"113","clomify",2.62415051162927,-1.13068675793361,0.5,1
"114","mystery",2.05556178242676,-1.12912092088447,0.5,1
"115","toy",1.18832370058236,-1.1206427671604,0.5,1
"116","history",2.84165924219781,-1.11256408009557,0.5,1
"117","duttery",1.9010630346906,-1.11145497122432,0.5,1
"118","waves",2.10130518549388,-1.09665218572553,0.5,1
"119","dag",3.06456829821859,-1.09567589485922,0.5,1
"120","insows",4.40048538215235,-1.0856545438014,0.5,1
"121","building",3.58143718297357,-1.08337018387244,0.5,1
"122","hammer",3.14282677873797,-1.0689351192891,0.5,1
"123","fawerty",2.4336882632739,-1.06502468108085,0.5,1
"124","flankfopper",1.63321000372729,-1.06099722082631,0.5,1
"125","brubs",2.12879675052799,-1.05351579254416,0.5,1
"126","cowbim",2.09308108369699,-1.05140753576695,0.5,1
"127","hube",0.969270290581312,-1.05097668541751,0.5,1
"128","famous",2.03984281528334,-1.04881899463932,0.5,1
"129","reverse",2.6531481415205,-1.04230192349038,0.5,1
"130","liberty",1.22585360219659,-1.03421942043578,0.5,1
"131","question",2.81747918292686,-1.03318896835209,0.5,1
"132","pencil",1.79813592052419,-1.01817348389022,0.5,1
"133","wews",5.38774620922557,-1.00261088103232,0.5,1
"134","etecants",1.68134118833442,-1.00245535072792,0.5,1
"135","baafness",1.2279878920374,-0.984940024866293,0.5,1
"136","collosks",1.26874458807094,-0.982385018844733,0.5,1
"137","answer",4.450492500527,-0.981758659810053,0.5,1
"138","brought",3.42114955690842,-0.981402853292485,0.5,1
"139","begin",3.44758188607591,-0.97825738010312,0.5,1
"140","slellen",5.54016728631805,-0.977316773650142,0.5,1
"141","wirtoul",3.16242434103565,-0.970210807833486,0.5,1
"142","gravel",1.47689909403571,-0.967593918814896,0.5,1
"143","lant",1.97896208609681,-0.966987812864415,0.5,1
"144","business",3.14634129220335,-0.957103993429202,0.5,1
"145","fasees",3.45369057033566,-0.955286779626489,0.5,1
"146","ston",1.96258993727736,-0.955167524997527,0.5,1
"147","benon",4.09947915496315,-0.955134913423509,0.5,1
"148","albust",1.32927689030326,-0.949079155467949,0.5,1
"149","losh",3.55517864777468,-0.945914155149147,0.5,1
"150","cuppom",4.93875626367679,-0.942360493116425,0.5,1
"151","nuder",4.8199302664714,-0.93867114440237,0.5,1
"152","oban",4.33949752802623,-0.935207191753265,0.5,1
"153","compliment",2.76622434993509,-0.909065643316838,0.5,1
"154","hom",2.33109688200448,-0.904361767856324,0.5,1
"155","describe",3.41999864770346,-0.902704928096757,0.5,1
"156","nop",2.29730144551538,-0.898153977811933,0.5,1
"157","custom",1.97774386361738,-0.890790937300915,0.5,1
"158","thantboard",3.1067471898298,-0.882231148546547,0.5,1
"159","sildal",3.84296004037032,-0.842712993082984,0.5,1
"160","alipol",3.90685282985902,-0.838614880302431,0.5,1
"161","molent",1.25280375671477,-0.826865025723502,0.5,1
"162","nied",3.87010752407048,-0.823130082881651,0.5,1
"163","crit",1.88877932250247,-0.823016405733361,0.5,1
"164","bledge",2.53331338978259,-0.821552660872867,0.5,1
"165","bangs",2.12830467590701,-0.81356844434099,0.5,1
"166","fireer",3.35766167332525,-0.812561856007086,0.5,1
"167","unger",6.84217266091092,-0.812176879546177,0.5,1
"168","hus",6.03066298778877,-0.811941381862222,0.5,1
"169","leald",3.54877871293019,-0.806339203429449,0.5,1
"170","ase",2.04775949332259,-0.803122371149068,0.5,1
"171","beeltisul",7.20965970556155,-0.800301954419379,0.5,1
"172","destrifs",5.5053321854196,-0.795688989024227,0.5,1
"173","besime",7.21074517313515,-0.791509965205432,0.5,1
"174","contain",2.52514609224049,-0.790071717764331,0.5,1
"175","ancrusinishness",1.13457884144515,-0.787761035737216,0.5,1
"176","shine",3.00379081617141,-0.766212043469944,0.5,1
"177","hencory",13.9896173624856,-0.765449035424838,0.5,1
"178","ther",4.46463141973625,-0.757403928477999,0.5,1
"179","grat",4.1701997587297,-0.75618909623963,0.5,1
"180","piscil",8.68245280955215,-0.75500466661226,0.5,1
"181","cas",3.16839830081779,-0.749029427237258,0.5,1
"182","scays",4.23967448928718,-0.748573211724354,0.5,1
"183","hect",6.71140114310247,-0.735491632049681,0.5,1
"184","holily",5.22609885230496,-0.734653470146668,0.5,1
"185","crovel",6.55584614792885,-0.733441099866954,0.5,1
"186","blans",4.82690793943962,-0.72724290840357,0.5,1
"187","cotplicant",3.68426812678591,-0.725989684009373,0.5,1
"188","mannanency",0.987246291232335,-0.718659112814993,0.5,1
"189","fattify",1.0580050645306,-0.71199095150435,0.5,1
"190","purchase",6.76989923250724,-0.691375464191946,0.5,1
"191","loak",1.67690168096923,-0.686628979697084,0.5,1
"192","grasshopper",6.99065117648899,-0.685813472065754,0.5,1
"193","bulbet",2.0226079961717,-0.683589810435805,0.5,1
"194","hane",4.06390292376863,-0.675249577001388,0.5,1
"195","budget",3.52838355460052,-0.671903183355281,0.5,1
"196","bove",3.53340403075298,-0.668387855793407,0.5,1
"197","elements",2.43302151072827,-0.66427386887456,0.5,1
"198","distance",3.92003440297605,-0.660592080281415,0.5,1
"199","telechinct",1.42179803818489,-0.656702628900764,0.5,1
"200","fimp",4.468343435942,-0.65595479378129,0.5,1
"201","drustion",4.81154530229881,-0.65509302590424,0.5,1
"202","sint",4.57235120873008,-0.64831368216457,0.5,1
"203","strosh",2.84806781084473,-0.647572863242756,0.5,1
"204","tice",3.21288564108329,-0.644655654415949,0.5,1
"205","speveal",4.33298950793676,-0.641072901990136,0.5,1
"206","goud",7.20618917579158,-0.636259794293452,0.5,1
"207","arsher",3.49772550287466,-0.635990495196664,0.5,1
"208","cotosks",25.0564168950908,-0.63575229468272,0.5,1
"209","an",1.30282192977489,-0.634517446028975,0.5,1
"210","inpant",2.23738928719967,-0.63375270527904,0.5,1
"211","warpen",3.35745120003012,-0.633629824840524,0.5,1
"212","bere",3.84637525559045,-0.630596853330411,0.5,1
"213","sudsage",4.15988218627334,-0.626471096963341,0.5,1
"214","woft",3.08701531134165,-0.616412617760466,0.5,1
"215","tate",3.8773901734082,-0.613671757440724,0.5,1
"216","wawed",2.26010232468311,-0.613361610581123,0.5,1
"217","leld",2.53892199103651,-0.594818155649472,0.5,1
"218","pame",3.75348732697219,-0.582294611596833,0.5,1
"219","wase",30.736979571079,-0.575971383198798,0.5,1
"220","slace",31.9146425343459,-0.570161284353774,0.5,1
"221","jewel",3.72801843822921,-0.563656240343766,0.5,1
"222","mich",6.95587974535065,-0.561991498742079,0.5,1
"223","ablood",2.35474869082827,-0.55938774096226,0.5,1
"224","runey",3.29379070642164,-0.557468017858029,0.5,1
"225","shring",5.17878781061484,-0.555352037375907,0.5,1
"226","vesural",1.79234784252255,-0.554348908836989,0.5,1
"227","han",3.4115009004354,-0.547985968442457,0.5,1
"228","mout",8.64744416163876,-0.536191117445589,0.5,1
"229","hadder",6.77836137671454,-0.532485785110864,0.5,1
"230","gaian",2.38638684396516,-0.532194774836341,0.5,1
"231","resolve",7.15700533859704,-0.531750497698067,0.5,1
"232","distides",1.71712343630337,-0.524006158535419,0.5,1
"233","hant",3.63197992257605,-0.519214991753761,0.5,1
"234","naw",3.24501886903984,-0.515956775678586,0.5,1
"235","trull",5.21169835206048,-0.51422454189618,0.5,1
"236","charks",8.18120563594177,-0.511506967159557,0.5,1
"237","banny",7.37257393638841,-0.509573651994998,0.5,1
"238","spoll",7.77312083097082,-0.500770069646367,0.5,1
"239","investigate",8.36007822059018,-0.479942801927827,0.5,1
"240","freat",4.09311617356237,-0.478557764433875,0.5,1
"241","groon",3.72155761266875,-0.474022177515049,0.5,1
"242","fite",13.8968829068328,-0.458898275407631,0.5,1
"243","liffs",4.9625478628127,-0.43268183135158,0.5,1
"244","sids",6.71800288944078,-0.431285063892935,0.5,1
"245","coth",7.45765964102109,-0.427052883219385,0.5,1
"246","roder",3.2666571518261,-0.395699910627824,0.5,1
"247","doubtful",6.88188483823615,-0.392211577399454,0.5,1
"248","fistory",3.37689039500968,-0.38690125404381,0.5,1
"249","pealt",1.26886316205843,-0.364153281780312,0.5,1
"250","trood",2.31614616299529,-0.360176953225584,0.5,1
"251","garbant",2.54184790045297,-0.351627444423765,0.5,1
"252","moop",1.40965374649851,-0.34723802040057,0.5,1
"253","strarms",5.42277866863028,-0.333465134717823,0.5,1
"254","purshare",3.77742916319122,-0.317611353826685,0.5,1
"255","beller",4.15266523575349,-0.310829352284649,0.5,1
"256","creat",5.35148275686532,-0.298367155136877,0.5,1
"257","overtruan",3.69973443244768,-0.291517425942656,0.5,1
"258","configuration",7.48220096249188,-0.290050335310531,0.5,1
"259","lape",3.48108501516716,-0.287542772544056,0.5,1
"260","pledge",5.81556693424752,-0.274686007389324,0.5,1
"261","rescets",4.09214720799636,-0.27329290231931,0.5,1
"262","wread",2.67654231707454,-0.273139647045274,0.5,1
"263","testify",12.0532662546731,-0.261114565496428,0.5,1
"264","soth",3.45908405387031,-0.2447849963021,0.5,1
"265","immiterise",1.14571481072274,-0.238551015244078,0.5,1
"266","qualify",4.28777639034137,-0.235822022711298,0.5,1
"267","invent",1.31589816471337,-0.219702360962754,0.5,1
"268","mistive",3.44856725180239,-0.209795819020171,0.5,1
"269","guarantee",5.0396319964462,-0.204318155029073,0.5,1
"270","contive",2.5272855876381,-0.191281304358103,0.5,1
"271","sain",5.21102653549514,-0.1818223675931,0.5,1
"272","dryer",2.55368265351266,-0.170756924297731,0.5,1
"273","serning",1.29404351056805,-0.102613063995145,0.5,1
"274","swane",2.1090851934545,-0.0853848719565819,0.5,1
"275","fave",2.88733261026061,-0.0811648544108561,0.5,1
"276","hust",5.81634444507767,-0.0734647119630158,0.5,1
"277","wared",2.47815364196188,-0.0683239516449594,0.5,1
"278","streat",9.82636172826256,-0.0576209869597354,0.5,1
"279","snose",3.68684091292482,-0.0520827558941849,0.5,1
"280","overwhelm",2.00774602296819,-0.0240227147968143,0.5,1
"281","med",1.47930370796552,-0.00933832762089681,0.5,1
"282","whose",1.22993579223846,-0.000263403031377052,0.5,1
"283","circus",1.00318132640919,0.0195702817332155,0.5,1
"284","garment",3.20231368058807,0.0303202272272958,0.5,1
"285","complase",3.22675868020355,0.0958720718931054,0.5,1
"286","fing",1.82547276552206,0.117070503929685,0.5,1
"287","fatter",1.7959457188908,0.183567417325275,0.5,1
"288","accustomed",3.78809568349248,0.216986492853514,0.5,1
"289","chanding",4.28598385664109,0.225276952414626,0.5,1
"290","mader",2.3703074894237,0.396001207805795,0.5,1
"291","shink",2.57551267386198,0.442993583656082,0.5,1
"292","potent",3.58204981081242,0.497885188831175,0.5,1
"293","appropriates",2.00796167464846,0.499559089668149,0.5,1
"294","bads",5.87085635656017,0.763737926256609,0.5,1
"295","rackle",0.912029482721453,0.882850909293663,0.5,1
"296","seadrill",17.8469482174181,0.983307412311759,0.5,1
"297","telescoped",1.14295461589535,1.45053317258389,0.5,1
"298","recorse",1.57858706622926,1.51487589118974,0.5,1
"299","bot",1.14947814805984,2.17714680468163,0.5,1
