"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"226",226,"telechinct",1,0.154605470894005,0.5,1,"telechinct",10,NA,0,0,1662.57,555.5,270.63,67.56,40.8,10.12,306711.58,37767.5,26479.93,4374.33,2017,338.75
"227",227,"resolve",1,0.157108218430844,0.5,1,"resolve",7,11.1251,1,2.14,5148.44,692.71,680.53,87.33,77.58,10.2,297642.35,40781.71,24536.01,4240.67,1794.42,351.4
"228",228,"ablood",1,0.170790683449416,0.5,1,"ablood",6,NA,0,0,5538.13,442.33,197.71,20,4.06,1.5,238464.68,28271.83,9038.43,1699.4,2021.15,330
"229",229,"trull",1,0.213525686428662,0.5,1,"trull",5,NA,3,13.52,9914.72,293.6,2182.67,36,116.05,4.33,218614.46,30951.6,12342.43,2279,888.5,207.67
"230",230,"naw",1,0.213866602192946,0.5,1,"naw",3,NA,16,211.38,14609.86,64.67,307.93,7,0,0,253606.15,28570.67,5082.85,1327,26.53,9
"231",231,"hadder",1,0.223189772425479,0.5,1,"hadder",6,NA,4,12,8142.75,892.5,1921.47,193.8,178.46,26.5,287249.41,33246.17,28444.25,3853.6,2966.84,319.75
"232",232,"investigate",1,0.24415177121419,0.5,1,"investigate",11,9.51884,0,0,1039.65,406,268.7,82.7,46.98,17.78,317742.9,41285.73,30358.91,6035.1,2301.41,700.44
"233",233,"an",1,0.248371568471077,0.5,1,"an",2,3313.39,11,3544.29,22806.98,6.5,3313.39,1,NA,NA,334249.27,40386.5,64251.37,5694,NA,NA
"234",234,"gaian",1,0.251885800253409,0.5,1,"gaian",5,NA,0,0,8020.5,380.2,532.01,34.5,13.23,1.67,287943.66,37547.8,22034.3,2539,890.07,179.67
"235",235,"vesural",1,0.252218842236403,0.5,1,"vesural",7,NA,0,0,4532.44,537.71,787.65,65.17,260.57,7.8,248395.65,35578.57,23133.33,4772.5,1379.47,244.6
"236",236,"spoll",1,0.268428469324049,0.5,1,"spoll",5,NA,4,9.64,8091.43,328.8,904.87,31.75,66.77,5.33,201101.61,31821,11779.8,2112.75,1261.42,275
"237",237,"distides",1,0.274989636728897,0.5,1,"distides",8,NA,0,0,4869.25,1374,899.78,283,205.8,38,298075.74,42822.5,25758.57,5760.57,2809.15,751.17
"238",238,"hant",1,0.275124268968232,0.5,1,"hant",4,NA,13,90.26,19200.22,270.5,3754.19,37.33,555.84,3.5,326347.84,32848,43964.18,4095.67,4205.1,693
"239",239,"fite",1,0.294486502218909,0.5,1,"fite",4,NA,14,52.77,20136.77,229.75,3262.03,23.33,48.49,3.5,328433.73,39488.25,26703.17,4164,1615.05,240.5
"240",240,"fattify",1,0.331339259430698,0.5,1,"fattify",7,NA,0,0,6607.34,980.57,888.25,130.83,194.91,34,248714.32,27359.57,16033.93,3121.5,862.69,211.6
"241",241,"liffs",1,0.336210678465895,0.5,1,"liffs",5,NA,6,1.38,5710.09,481.6,289.73,30.75,5.57,8,185772.17,28868.4,7879.49,1678.75,709.63,112.67
"242",242,"mannanency",1,0.337808764509089,0.5,1,"mannanency",10,NA,0,0,1374.68,534.2,304.95,85.89,107.27,19.62,273082.65,34924.1,26033.61,3311.67,1321.94,266.62
"243",243,"groon",1,0.393926557452957,0.5,1,"groon",5,NA,5,14.05,6109.55,281.6,1138.42,53.5,171.89,8.33,251976.71,32313.2,21323.68,3317.5,1075.51,208.67
"244",244,"freat",1,0.423728613138922,0.5,1,"freat",5,NA,3,227.58,8993.82,313,1325.93,40,655.91,9.67,326597.84,38161,33776.09,4474.25,3800.44,402.67
"245",245,"coth",1,0.552126140833419,0.5,1,"coth",4,NA,7,89.43,13607.23,204.75,3418.39,29.33,313.02,3,269164.51,26640,54535.57,2540.33,2601.82,156.5
"246",246,"fistory",1,0.572749943972443,0.5,1,"fistory",7,NA,1,184.19,5505.22,781.43,945.07,115.67,266.98,17.4,243135.71,32440.86,26750.22,3328.17,2074.03,581.8
"247",247,"sids",1,0.588880773805669,0.5,1,"sids",4,NA,12,40.52,12179.16,283.5,590.05,23.33,225.95,3,249823.11,42828,10317.49,1677.33,1053.74,127.5
"248",248,"pealt",1,0.62567511984669,0.5,1,"pealt",5,NA,2,10.89,9999.25,405.4,1386.31,47.5,74.45,7.33,308774.15,37830.8,18599.81,2748.75,1528.05,177.67
"249",249,"trood",1,0.634932192497293,0.5,1,"trood",5,NA,2,4.11,9591.27,336.4,1053.69,46.5,165.67,7.33,289550.63,33077.4,12642.6,2235.5,1668.41,305.67
